spec_id;exigence;statut;partiellement_implemente;reste_a_faire;preuves;nom
F27;Module dictionary interface abstraite;Partiel;Oui structures presentes;Introduire interface dictionary explicite et harmoniser API;src/main/java/fr/ubordeaux/scrabble/model/dictionary/Trie.java | src/main/java/fr/ubordeaux/scrabble/model/dictionary/Dawg.java | src/main/java/fr/ubordeaux/scrabble/model/dictionary/Gaddag.java;yanis
F28;Module DAWG;Implémente;Oui;Ajouter documentation performance memoire;src/main/java/fr/ubordeaux/scrabble/model/dictionary/Dawg.java;yanis
F29;Module GADDAG;Implémente;Oui;Aligner API sur interface dictionary cible;src/main/java/fr/ubordeaux/scrabble/model/dictionary/Gaddag.java;yanis
F30;Menus GUI File et Game;Partiel;Oui menus partiels;Ajouter Configuration Info en File et Undo Redo Pause Hint en Game;src/main/java/fr/ubordeaux/scrabble/view/gui/ScrabbleGui.java;thomas
F31;Raccourcis clavier GUI personnalisables;Non implemente;Non;Ajouter accelerateurs Ctrl+N L S , I Q U R P H plus persistance config;src/main/java/fr/ubordeaux/scrabble/view/gui/ScrabbleGui.java;thomas
F32;Drag and drop;Implémente;Oui;Ajouter validations UX complementaires;src/main/java/fr/ubordeaux/scrabble/view/gui/panel/BoardPanel.java | src/main/java/fr/ubordeaux/scrabble/view/gui/panel/RackPanel.java;thomas
F33;Temps de reflexion IA borne;Implémente;Oui;Ajouter validation stricte de TIME et monitoring;src/main/java/fr/ubordeaux/scrabble/App.java | src/main/java/fr/ubordeaux/scrabble/model/ai/MinimaxSolver.java;aissa
F34;Recherche mots possibles via gaddag;Implémente;Oui;Mesurer performance sur gros dictionnaires;src/main/java/fr/ubordeaux/scrabble/model/core/MoveGenerator.java | src/main/java/fr/ubordeaux/scrabble/model/dictionary/Gaddag.java;yanis
F35;Recherche meilleur coup score maximal;Implémente;Oui;Ajouter criteres strategiques non locaux;src/main/java/fr/ubordeaux/scrabble/model/ai/MinimaxSolver.java;aissa
F36;Algorithme exptiminimax activable;Implémente;Oui;Renforcer tests profondeur cout temps;src/main/java/fr/ubordeaux/scrabble/App.java | src/main/java/fr/ubordeaux/scrabble/model/ai/MinimaxSolver.java;aissa
F37;Recherche par machine learning;Implémente;Oui;Stabiliser pipeline modele fallback evaluation;src/main/java/fr/ubordeaux/scrabble/model/ai/MlAgent.java | pom.xml;aissa
F38;Reseau de base decouverte serveur client ping;Partiel;Oui backend GUI;Completer exposition complete des commandes en CLI texte;src/main/java/fr/ubordeaux/scrabble/model/network/NetworkManager.java | src/main/java/fr/ubordeaux/scrabble/model/network/DiscoveryService.java | src/main/java/fr/ubordeaux/scrabble/view/gui/NetworkLobbyView.java;léonard
F39;Serveur multi clients et parties;Partiel;Oui backend solide;Aligner options de lancement spec -s -d et couverture commandes CLI;src/main/java/fr/ubordeaux/scrabble/model/network/server/GameServer.java | src/main/java/fr/ubordeaux/scrabble/App.java;léonard
F40;Invitations et statuts avances;Partiel;Oui backend present;Completer exposition uniforme CLI GUI et validations d etat;src/main/java/fr/ubordeaux/scrabble/model/network/server/PendingInvitation.java | src/main/java/fr/ubordeaux/scrabble/model/network/server/GameServer.java | src/main/java/fr/ubordeaux/scrabble/model/network/NetworkManager.java;léonard
